整理,#genre#
澳亞衛視,http://116.199.5.51:8114/00000000/hls/index.m3u8?Fsv_chan_hls_se_idx=192&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
澳視澳門,http://live4.tdm.com.mo:80/ch1/_definst_//ch1.live/playlist.m3u8
澳視葡語,http://live3.tdm.com.mo:1935/ch2/ch2.live/playlist.m3u8
澳視衛星,http://live4.tdm.com.mo/ch3/definst//ch3.live/playlist.m3u8
澳視衛星 (備),http://live4.tdm.com.mo:80/ch3/_definst_//ch3.live/playlist.m3u8
澳视体育,http://live4.tdm.com.mo:80/ch4/_definst_/sport_ch4.live/playlist.m3u8
澳视卫星,http://live3.tdm.com.mo:1935/ch3/ch3.live/playlist.m3u8
澳视澳门,http://live3.tdm.com.mo:1935/ch1/ch1.live/playlist.m3u8
澳视综艺,http://live4.tdm.com.mo:80/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳视葡文,http://live4.tdm.com.mo:80/ch2/_definst_/ch2.live/playlist.m3u8
澳門衛星頻道,http://live4.tdm.com.mo/ch3/ch3.live/chunklist_w1998934325.m3u8
澳門衛視,http://stream.mastvnet.com/MSTV/SD/live.m3u8
澳門資訊,http://live4.tdm.com.mo/ch5/_definst_/info_ch5.live/playlist.m3u8
澳门,http://61.244.22.4/ch3/_definst_/ch3.live/chunklist_w248237998.m3u8
澳门卫星频道,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳门澳亚卫视,http://stream.mastvnet.com/MASTV/playlist.m3u8
澳门莲花,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
澳门资讯,http://live3.tdm.com.mo:1935/ch5/info_ch5.live/playlist.m3u8

台灣,#genre#
TVBS新闻台,http://60.199.188.61/HLS/WG_TVBS-N/index.m3u8
TVBS新闻台,http://60.199.188.61/HLS/WG_TVBS-N/01.m3u8
TVBS新闻台,http://60.199.188.61/HLS/WG_TVBS-N/02.m3u8
Elta 戲劇,http://198.16.106.58:8278/eltadrama_twn/playlist.m3u8?tid=m02000000000017968370&ct=18032&tsum=0918e7edb4e700da112c60d22e0aa4d5
Elta 綜合,http://198.16.106.58:8278/eltazhonghe_twn/playlist.m3u8?tid=m02000000000014004815&ct=18032&tsum=a4d65e8000a7d0bbc343700b1efccb62
壹电视新闻,http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/playlist.m3u8
民视新闻HD,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
TVBS-N,http://60.199.188.61/HLS/WG_TVBS-N/02.m3u8
中天新闻HD,http://60.199.188.61/HLS/WG_ETTV-N/index.m3u8
TVBS新聞,http://60.199.188.61/HLS/WG_TVBS-N/01.m3u8
中天新聞,http://60.199.188.61/HLS/WG_ETTV-N/01.m3u8
環球電視,http://live-cdn.xzxwhcb.com/hls/r86am856.m3u8
壹新聞備,http://ax.micaesoft.com/YMitv/YMITV_CN_eratv.m3u8
壹新聞,http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv2/chunklist.m3u8
壹新聞,http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/chunklist.m3u8
